wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time
0,,,1,0,3,7,0,850,20,15000
0,,,20,15000,3,0,0,,,
0,,,1,30000,3,9,0,,,
1,,,20,0,3,0,0,,,
1,,,1,10000,3,7,0,,,
1,,,1,25000,3,7,0,,,
2,,,20,0,2,0,0,,,
2,,,2,20000,2,9,0,,,
2,,,20,0,3,0,0,,,
2,,,2,20000,3,7,0,,,
3,,,6,0,0,2,0,,,
3,,,6,25000,0,2,0,,,
3,,,2,35000,0,7,0,,,
4,,,20,0,0,0,0,,,
4,,,24,8000,0,0,0,,,
4,,,1,15000,0,7,0,,,
4,,,18,30000,0,5,0,,,
5,,,20,0,1,0,0,,,
5,,,24,8000,1,0,0,,,
5,,,14,15000,1,10,0,,,
5,,,1,20000,1,7,0,,,
5,,,20,0,0,0,0,,,
5,,,24,8000,0,0,0,,,
5,,,14,15000,0,10,0,,,
5,,,1,30000,0,7,0,,,
5,,,18,40000,0,5,0,,,
6,,,1,10000,1,7,0,,,
6,,,20,20000,1,0,0,,,
6,,,1,30000,1,7,0,,,
6,,,14,25000,1,10,0,,,
7,,,21,0,0,0,0,,,
7,,,24,3000,2,7,0,,,
7,,,19,15000,2,8,0,,,
7,,,21,30000,2,0,0,,,
7,,,14,35000,2,10,0,,,
7,,,19,40000,2,8,0,,,
8,,,1,0,0,7,0,,,
8,,,1,0,3,7,0,,,
8,,,18,10000,1,5,0,,,
8,,,18,10000,2,5,0,,,
8,,,1,15000,0,7,0,,,
8,,,1,15000,1,7,0,,,
8,,,1,25000,2,5,0,,,
8,,,1,25000,3,5,0,,,
8,,,18,35000,0,5,0,,,
8,,,18,35000,1,5,0,,,
9,,,14,0,0,10,0,,,
9,,,21,10000,0,0,0,,,
9,,,20,20000,0,0,0,,,
9,,,24,25000,0,0,0,,,
9,,,14,30000,0,10,0,,,
9,,,14,0,1,10,0,,,
9,,,21,10000,1,0,0,,,
9,,,20,25000,1,0,0,,,
9,,,24,35000,1,0,0,,,
9,,,14,40000,1,10,0,,,
10,,,2,0,0,9,0,,,
10,,,2,0,3,9,0,,,
10,,,2,10000,1,9,0,,,
10,,,2,10000,2,9,0,,,
10,,,20,10000,2,0,0,,,
10,,,20,10000,3,0,0,,,
10,,,18,30000,0,5,0,,,
10,,,18,30000,1,5,0,,,
10,,,18,40000,2,5,0,,,
10,,,18,40000,3,5,0,,,
11,,,1,0,0,7,0,,,
11,,,1,0,3,7,0,,,
11,,,1,10000,1,7,0,,,
11,,,1,10000,2,7,0,,,
11,,,20,10000,2,0,0,,,
11,,,20,10000,3,0,0,,,
11,,,18,35000,0,5,0,,,
11,,,18,35000,1,5,0,,,
11,,,18,50000,2,5,0,,,
11,,,18,50000,3,5,0,,,
11,,,19,50000,0,8,0,,,
11,,,19,50000,1,8,0,,,
11,,,24,25000,2,0,0,,,
11,,,24,25000,3,0,0,,,
