wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time
0,0,0,1,0,0,0,0,380,20,15000
0,1,0,1,800,0,0,0,,,
0,2,0,1,1600,0,0,0,,,
0,3,0,1,2400,0,0,0,,,
0,4,0,1,3200,0,0,0,,,
0,5,0,1,33000,0,0,0,,,
0,6,0,1,33800,0,0,0,,,
0,7,0,1,34600,0,0,0,,,
0,8,0,1,35400,0,0,0,,,
0,9,0,1,36200,0,0,0,,,
0,10,0,1,37000,0,0,0,,,
0,11,1,1,37800,0,0,0,,,
0,12,0,1,10000,1,0,0,,,
0,13,0,1,10800,1,0,0,,,
0,14,0,1,11600,1,0,0,,,
0,15,0,1,12400,1,0,0,,,
0,16,0,1,13200,1,0,0,,,
0,17,0,1,22000,1,0,0,,,
0,18,0,1,22800,1,0,0,,,
0,19,0,1,23600,1,0,0,,,
0,20,0,1,24400,1,0,0,,,
0,21,0,1,25200,1,0,0,,,
1,0,0,1,15000,0,0,0,,,
1,1,0,1,15800,0,0,0,,,
1,2,0,1,16600,0,0,0,,,
1,3,0,1,17400,0,0,0,,,
1,4,0,1,18200,0,0,0,,,
1,5,0,1,19000,0,0,0,,,
1,6,0,1,19800,0,0,0,,,
1,7,0,1,32000,0,0,0,,,
1,8,0,1,32600,0,0,0,,,
1,9,0,1,33200,0,0,0,,,
1,10,0,1,33800,0,0,0,,,
1,11,0,1,34400,0,0,0,,,
1,12,0,1,35000,0,0,0,,,
1,13,1,1,35600,0,0,0,,,
1,14,0,3,0,1,0,0,,,
1,15,0,3,900,1,0,0,,,
1,16,0,3,1800,1,0,0,,,
1,17,0,3,2700,1,0,0,,,
1,18,0,3,3600,1,0,0,,,
1,19,0,3,12000,1,0,0,,,
1,20,0,3,12900,1,0,0,,,
1,21,0,3,13800,1,0,0,,,
1,22,0,3,14700,1,0,0,,,
1,23,0,3,15600,1,0,0,,,
1,24,0,3,28000,1,0,0,,,
1,25,0,3,28800,1,0,0,,,
1,26,0,3,29600,1,0,0,,,
1,27,0,3,30400,1,0,0,,,
1,28,0,3,31200,1,0,0,,,
2,0,0,1,0,0,0,0,,,
2,1,0,1,1100,0,0,0,,,
2,2,0,1,2200,0,0,0,,,
2,3,0,1,3300,0,0,0,,,
2,4,0,1,4400,0,0,0,,,
2,5,0,1,17000,0,0,0,,,
2,6,0,1,17900,0,0,0,,,
2,7,0,1,18800,0,0,0,,,
2,8,0,1,19700,0,0,0,,,
2,9,0,1,20600,0,0,0,,,
2,10,0,1,3000,1,0,0,,,
2,11,0,1,3800,1,0,0,,,
2,12,0,1,4600,1,0,0,,,
2,13,0,1,5400,1,0,0,,,
2,14,0,1,6200,1,0,0,,,
2,15,0,1,28000,1,0,0,,,
2,16,0,1,28800,1,0,0,,,
2,17,0,1,29600,1,0,0,,,
2,18,0,1,30400,1,0,0,,,
2,19,0,1,31200,1,0,0,,,
2,20,0,1,32000,1,0,0,,,
2,21,1,1,32800,1,0,0,,,
2,22,0,4,24000,2,0,0,,,
2,23,0,5,22000,2,0,0,,,
3,0,0,1,0,0,0,0,,,
3,1,0,1,800,0,0,0,,,
3,2,0,1,1600,0,0,0,,,
3,3,0,1,2400,0,0,0,,,
3,4,0,1,3200,0,0,0,,,
3,5,0,1,4000,0,0,0,,,
3,6,0,1,12000,0,0,0,,,
3,7,0,1,12800,0,0,0,,,
3,8,0,1,13600,0,0,0,,,
3,9,0,1,14400,0,0,0,,,
3,10,0,1,15200,0,0,0,,,
3,11,0,4,42000,0,0,0,,,
3,12,0,1,45000,0,0,0,,,
3,13,0,1,45800,0,0,0,,,
3,14,0,1,46600,0,0,0,,,
3,15,0,1,47400,0,0,0,,,
3,16,0,1,48200,0,0,0,,,
3,17,0,1,14000,1,0,0,,,
3,18,0,1,14900,1,0,0,,,
3,19,0,1,15800,1,0,0,,,
3,20,0,1,16700,1,0,0,,,
3,21,0,1,17600,1,0,0,,,
3,22,0,1,30000,1,0,0,,,
3,23,0,1,30900,1,0,0,,,
3,24,0,1,31800,1,0,0,,,
3,25,0,1,32700,1,0,0,,,
3,26,0,1,33600,1,0,0,,,
3,27,0,1,49000,1,0,0,,,
3,28,0,1,49700,1,0,0,,,
3,29,0,1,50400,1,0,0,,,
3,30,0,1,51100,1,0,0,,,
3,31,0,1,51800,1,0,0,,,
3,32,0,1,53000,2,0,0,,,
3,33,0,1,53800,2,0,0,,,
3,34,0,1,54600,2,0,0,,,
3,35,0,1,55400,2,0,0,,,
3,36,1,1,56200,2,0,0,,,
4,0,0,5,10000,2,0,0,,,
4,1,0,4,13000,2,0,0,,,
4,2,0,5,14000,2,0,0,,,
4,3,0,5,25000,2,0,0,,,
4,4,0,4,27000,2,0,0,,,
4,5,0,1,32000,2,0,0,,,
4,6,0,1,32600,2,0,0,,,
4,7,0,1,33200,2,0,0,,,
