wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time
0,,,21,0,0,0,0,850,20,15000
0,,,21,15000,0,0,0,,,
0,,,1,25000,0,7,0,,,
1,,,22,0,0,0,0,,,
1,,,1,10000,0,7,0,,,
1,,,22,20000,0,0,0,,,
1,,,22,30000,0,0,0,,,
1,,,22,38000,0,0,0,,,
1,,,22,43000,0,0,0,,,
2,,,23,0,0,0,0,,,
2,,,23,10000,0,0,0,,,
2,,,23,20000,0,0,0,,,
2,,,23,25000,0,0,0,,,
2,,,23,30000,0,0,0,,,
3,,,5,0,2,0,0,,,
3,,,12,5000,2,4,0,,,
3,,,5,15000,2,0,0,,,
3,,,21,20000,0,0,0,,,
3,,,22,20000,0,0,0,,,
3,,,12,30000,0,4,0,,,
4,,,21,0,0,0,0,,,
4,,,22,5000,0,0,0,,,
4,,,22,40000,0,0,0,,,
4,,,5,0,1,0,0,,,
4,,,23,5000,1,0,0,,,
4,,,5,15000,1,0,0,,,
4,,,23,20000,1,0,0,,,
4,,,5,40000,1,0,0,,,
4,,,23,50000,1,0,0,,,
5,,,20,0,0,0,0,,,
5,,,23,15000,0,0,0,,,
5,,,20,15000,1,0,0,,,
5,,,6,25000,1,2,0,,,
5,,,23,35000,1,0,0,,,
5,,,23,40000,1,0,0,,,
6,,,20,0,2,0,0,,,
6,,,14,10000,2,10,0,,,
6,,,14,25000,2,10,0,,,
6,,,14,50000,2,10,0,,,
6,,,18,30000,0,5,0,,,
6,,,18,50000,0,5,0,,,
6,,,18,60000,0,5,0,,,
7,,,20,0,1,0,0,,,
7,,,14,10000,1,10,0,,,
7,,,20,25000,1,0,0,,,
7,,,14,35000,1,10,0,,,
7,,,18,20000,0,5,0,,,
7,,,18,40000,0,5,0,,,
7,,,18,60000,0,5,0,,,
8,,,20,5000,0,0,0,,,
8,,,6,10000,0,2,0,,,
8,,,20,25000,0,0,0,,,
8,,,22,35000,0,0,0,,,
8,,,23,40000,0,0,0,,,
8,,,20,0,1,0,0,,,
8,,,23,15000,1,0,0,,,
8,,,18,20000,2,5,0,,,
8,,,18,30000,2,5,0,,,
8,,,18,50000,2,5,0,,,
9,,,6,0,1,2,0,,,
9,,,6,15000,1,2,0,,,
9,,,6,30000,1,2,0,,,
9,,,6,40000,1,2,0,,,
9,,,6,45000,1,2,0,,,
10,,,23,0,1,0,0,,,
10,,,23,10000,1,0,0,,,
10,,,23,15000,1,0,0,,,
10,,,23,25000,1,0,0,,,
10,,,23,30000,1,0,0,,,
10,,,20,0,0,0,0,,,
10,,,14,5000,0,10,0,,,
10,,,18,15000,0,5,0,,,
10,,,14,20000,0,10,0,,,
10,,,6,10000,0,2,0,,,
10,,,6,20000,0,2,0,,,
10,,,18,10000,2,5,0,,,
10,,,18,20000,2,5,0,,,
10,,,18,30000,2,5,0,,,
10,,,18,40000,2,5,0,,,
10,,,18,50000,2,5,0,,,
11,,,20,0,1,0,0,,,
11,,,14,5000,1,10,0,,,
11,,,14,15000,1,10,0,,,
11,,,18,25000,1,5,0,,,
11,,,18,45000,1,5,0,,,
11,,,22,10000,1,0,0,,,
11,,,22,45000,1,0,0,,,
11,,,22,55000,1,0,0,,,
11,,,20,0,2,0,0,,,
11,,,14,5000,2,10,0,,,
11,,,14,15000,2,10,0,,,
11,,,20,35000,2,0,0,,,
11,,,14,40000,2,10,0,,,
11,,,14,50000,2,10,0,,,
11,,,23,10000,0,0,0,,,
11,,,23,20000,0,0,0,,,
11,,,23,30000,0,0,0,,,
11,,,23,40000,0,0,0,,,
11,,,23,45000,0,0,0,,,
11,,,23,50000,0,0,0,,,
11,,,1,30000,2,7,0,,,
