wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time
0,,,21,0,0,0,0,1250,20,15000
0,,,21,10000,0,0,0,,,
0,,,1,20000,0,9,0,,,
0,,,19,30000,0,8,0,,,
1,,,14,0,1,19,0,,,
1,,,14,30000,1,19,0,,,
1,,,14,40000,1,19,0,,,
2,,,20,0,0,0,0,,,
2,,,20,20000,0,0,0,,,
2,,,24,30000,0,0,0,,,
2,,,1,40000,0,9,0,,,
2,,,1,50000,0,9,0,,,
2,,,18,35000,1,0,0,,,
2,,,18,50000,1,3,0,,,
3,,,21,5000,0,0,0,,,
3,,,21,0,0,0,0,,,
3,,,21,10000,0,0,0,,,
3,,,19,0,0,8,0,,,
3,,,21,20000,0,0,0,,,
3,,,22,30000,3,21,0,,,
3,,,22,55000,3,21,0,,,
3,,,19,20000,3,8,0,,,
3,,,19,50000,3,8,0,,,
4,,,18,20000,1,3,0,,,
4,,,14,10000,1,19,0,,,
4,,,18,20000,1,5,0,,,
4,,,20,30000,1,0,0,,,
4,,,24,40000,1,0,0,,,
4,,,23,0,2,0,0,,,
4,,,23,10000,2,0,0,,,
4,,,23,20000,2,0,0,,,
4,,,1,30000,2,7,0,,,
4,,,1,50000,2,20,0,,,
5,,,21,0,1,0,0,,,
5,,,21,3000,1,0,0,,,
5,,,23,20000,1,0,0,,,
5,,,23,40000,1,21,0,,,
5,,,20,0,2,0,0,,,
5,,,18,20000,2,5,0,,,
5,,,18,35000,2,5,0,,,
5,,,18,50000,2,5,0,,,
5,,,22,20000,0,0,0,,,
5,,,22,35000,0,21,0,,,
5,,,22,50000,0,0,0,,,
6,,,19,35000,0,11,0,,,
6,,,20,10000,0,0,0,,,
6,,,21,0,0,0,0,,,
6,,,21,5000,0,0,0,,,
6,,,8,30000,0,11,0,,,
6,,,19,10000,0,11,0,,,
6,,,20,20000,0,0,0,,,
6,,,23,0,1,0,0,,,
6,,,23,10000,1,0,0,,,
6,,,22,17000,3,0,0,,,
6,,,22,21000,3,13,0,,,
6,,,20,20000,3,0,0,,,
6,,,19,25000,3,18,0,,,
6,,,21,40000,3,21,0,,,
6,,,19,45000,3,16,0,,,
7,,,22,5000,0,14,0,,,
7,,,22,20000,0,13,0,,,
7,,,22,35000,0,11,0,,,
7,,,21,35000,1,0,0,,,
7,,,21,40000,1,11,0,,,
7,,,24,35000,1,0,0,,,
7,,,8,5000,1,12,0,,,
7,,,21,10000,1,21,0,,,
7,,,21,15000,1,11,0,,,
7,,,19,8000,1,14,0,,,
7,,,23,2000,3,0,0,,,
7,,,23,2000,3,0,0,,,
7,,,24,40000,3,0,0,,,
7,,,19,45000,3,11,0,,,
